date,Show_name,Show_theatre,This_Week_Gross,Difference,Average_ticket,Top_ticket,Seats_Sold,Seats_in_theater,Perfs,Previews,%cap,diff_cap,date_type,show_type
2023-01-08,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,343,673.50","-$631,458.10",$129.71,$0.00,"10,359","1,300",8,0,99.61%,-0.31%,post,Musical
2023-01-08,Ohio State Murders,James Earl Jones Theatre,"$361,241.50","$49,349.00",$70.46,$223.00,"5,127","1,070",8,0,59.89%,10.76%,post,Play
2023-01-08,SIX: The Musical,Lena Horne Theatre,"$1,221,435.00","-$427,771.00",$150.68,$249.00,"8,106","1,031",8,0,98.28%,-1.93%,post,Musical
2023-01-08,Some Like It Hot,Sam S. Shubert Theatre,"$860,839.35","-$315,946.81",$96.45,$257.00,"8,925","1,448",8,0,77.05%,-7.70%,post,Musical
2023-01-08,Take Me Out,Gerald Schoenfeld Theatre,"$413,618.50","-$123,970.00",$79.03,$297.00,"5,234","1,061",8,0,61.66%,-4.39%,post,Play
2023-01-08,The Book of Mormon,Eugene O'Neill Theatre,"$1,127,226.11","-$552,897.84",$131.10,$0.00,"8,598","1,066",8,0,100.82%,-0.99%,post,Musical
2023-01-08,The Collaboration,Samuel J. Friedman Theatre,"$297,932.00","$49,342.00",$74.86,$279.00,"3,980",637,8,0,78.10%,2.43%,post,Play
2023-01-08,The Lion King,Minskoff Theatre,"$1,998,294.00","-$2,316,970.00",$147.48,$199.00,"13,550","1,696",8,0,99.87%,0.64%,post,Musical
2023-01-08,The Music Man,Winter Garden Theatre,"$3,146,164.16","-$825,366.64",$257.99,$697.00,"12,195","1,525",8,0,99.96%,-1.29%,post,Musical
2023-01-08,The Phantom of the Opera,Majestic Theatre,"$2,185,285.65","-$602,731.65",$167.35,$397.00,"13,058","1,605",8,0,101.70%,0.00%,post,Musical
2023-01-08,The Piano Lesson,Ethel Barrymore Theatre,"$987,431.45","-$153,005.29",$126.29,$323.00,"7,819","1,043",8,0,93.71%,-0.41%,post,Play
2023-01-08,Topdog/Underdog,John Golden Theatre,"$401,055.00","$55,488.30",$85.20,$273.00,"4,707",802,8,0,73.36%,12.37%,post,Play
2023-01-08,Wicked,Gershwin Theatre,"$1,982,764.00","-$1,169,915.00",$129.60,$275.00,"15,299","1,926",8,0,99.29%,-0.71%,post,Musical
2023-01-01,& Juliet,Stephen Sondheim Theatre,"$1,639,788.20","$712,555.60",$177.29,$347.00,"9,249","1,026",9,0,100.16%,3.71%,post,Musical
2023-01-01,1776,American Airlines Theatre,"$326,222.80","$195,981.00",$66.81,$248.00,"4,883",723,7,0,96.48%,35.23%,post,Musical
2023-01-01,"A Beautiful Noise, The Neil Diamond Musical",Broadhurst Theatre,"$1,425,881.63","$637,674.38",$163.48,$347.50,"8,722","1,152",9,0,84.12%,17.76%,post,Musical
2023-01-01,A Christmas Carol,Nederlander Theatre,"$522,424.00","-$207,150.00",$89.84,$229.00,"5,815","1,185",9,0,54.52%,-8.37%,post,Play
2023-01-01,A Strange Loop,Lyceum Theatre,"$731,420.00","$448,333.90",$105.29,$297.00,"6,947",912,8,0,95.22%,26.40%,post,Musical
2023-01-01,Aladdin,New Amsterdam Theatre,"$2,849,723.39","$1,207,424.94",$183.49,$299.50,"15,531","1,727",9,0,99.92%,1.39%,post,Musical
2023-01-01,Almost Famous,Bernard B. Jacobs Theatre,"$1,055,041.66","$403,880.34",$133.23,$297.00,"7,919","1,023",8,0,96.76%,27.27%,post,Musical
2023-01-01,Beetlejuice,Marquis Theatre,"$2,462,831.00","$1,068,388.40",$169.42,$249.00,"14,537","1,602",9,0,100.83%,4.72%,post,Musical
2023-01-01,Between Riverside and Crazy,Helen Hayes Theater,"$260,085.00","$129,065.75",$58.37,$197.00,"4,456",579,8,0,96.20%,20.63%,post,Play
2023-01-01,Chicago,Ambassador Theatre,"$1,299,404.45","$577,539.70",$132.00,$238.00,"9,844","1,080",9,0,101.28%,7.68%,post,Musical
2023-01-01,Death of a Salesman,Hudson Theatre,"$624,506.75","$293,617.00",$89.16,$299.00,"7,004",975,8,0,89.79%,24.53%,post,Play
2023-01-01,Funny Girl,August Wilson Theatre,"$2,405,900.50","$510,715.75",$235.23,$0.00,"10,228","1,219",9,0,93.23%,-6.39%,post,Musical
2023-01-01,Hadestown,Walter Kerr Theatre,"$1,279,809.50","$519,180.00",$153.07,$0.00,"8,361",918,9,0,101.20%,0.62%,post,Musical
2023-01-01,Hamilton,Richard Rodgers Theatre,"$2,740,599.00","$84,497.00",$254.54,$449.00,"10,767","1,324",8,0,101.65%,0.72%,post,Musical
2023-01-01,Harry Potter and the Cursed Child,Lyric Theatre,"$2,671,191.00","$677,217.30",$205.86,$449.00,"12,976","1,622",8,0,100.00%,1.60%,post,Play
2023-01-01,Into the Woods,St. James Theatre,"$1,892,625.35","$1,016,229.50",$134.77,$0.00,"14,043","1,655",9,0,94.28%,22.90%,post,Musical
2023-01-01,Kimberly Akimbo,Booth Theatre,"$674,355.76","$163,529.26",$115.95,$273.00,"5,816",773,8,0,94.05%,20.02%,post,Musical
